datetime,open,high,low,close,engulfing,star,signal,target_amount,target_category
2022-06-16 12:00:00,1819.30005,1846.92004,1819.26001,1845.38,0,0,0,0.0,0
2022-06-16 16:00:00,1845.35999,1852.87,1844.70996,1852.31995,0,0,0,0.0,0
2022-06-16 20:00:00,1852.30005,1857.59998,1849.93994,1850.94995,0,1,0,0.0,0
2022-06-17 00:00:00,1850.96997,1851.57996,1841.71997,1842.31995,0,0,0,0.0,0
2022-06-17 04:00:00,1842.26001,1850.12,1842.04004,1848.78003,0,0,0,0.0,0
2022-06-17 08:00:00,1848.81995,1852.53003,1844.62,1848.01001,0,0,0,0.0,0
2022-06-17 12:00:00,1848.03003,1852.90002,1836.73999,1841.23999,0,0,0,0.0,0
2022-06-17 16:00:00,1841.15002,1842.43005,1833.91003,1837.18005,0,0,0,0.0,0
2022-06-17 20:00:00,1837.13,1841.98999,1836.37,1839.46997,0,0,0,0.0,0
2022-06-19 20:00:00,1837.31006,1840.43005,1834.81006,1838.43994,0,0,0,0.0,0
2022-06-20 00:00:00,1838.48999,1846.15002,1835.23999,1843.92004,0,0,0,0.0,0
2022-06-20 04:00:00,1843.88,1845.26001,1839.35999,1840.07996,0,0,0,0.0,0
2022-06-20 08:00:00,1840.01001,1843.79004,1836.43005,1838.23999,0,0,0,0.0,0
2022-06-20 12:00:00,1838.33997,1843.26001,1836.05005,1838.33997,0,0,0,0.0,0
2022-06-20 16:00:00,1838.37,1838.58997,1835.57996,1838.08997,0,2,2,4.369989999999916,2
2022-06-20 20:00:00,1838.39001,1839.26001,1836.34998,1839.06995,0,2,0,0.0,0
2022-06-21 00:00:00,1839.01001,1842.45996,1838.53003,1840.32996,0,0,0,0.0,0
2022-06-21 04:00:00,1840.30005,1840.87,1832.66003,1838.59998,0,2,2,-7.760009999999966,1
2022-06-21 08:00:00,1838.56006,1838.69995,1830.83997,1833.51001,0,0,0,0.0,0
2022-06-21 12:00:00,1833.53003,1843.66003,1832.81995,1835.38,0,1,0,0.0,0
2022-06-21 16:00:00,1835.30005,1837.16003,1828.65002,1830.56006,0,0,0,0.0,0
2022-06-21 20:00:00,1830.68994,1834.81995,1829.41003,1831.54004,0,0,0,0.0,0
2022-06-22 00:00:00,1831.23999,1831.59998,1825.68994,1827.68005,0,0,0,0.0,0
2022-06-22 04:00:00,1827.71997,1830.43005,1823.87,1826.80005,0,0,0,0.0,0
2022-06-22 08:00:00,1826.92004,1843.5,1823.48999,1836.43005,0,0,0,0.0,0
2022-06-22 12:00:00,1837.10999,1847.84998,1835.5,1838.12,0,1,1,0.0,0
2022-06-22 16:00:00,1838.06995,1841.70996,1835.80005,1837.82996,0,0,0,0.0,0
2022-06-22 20:00:00,1837.81006,1838.48999,1836.28003,1836.56006,0,0,0,0.0,0
2022-06-23 00:00:00,1836.64001,1838.68994,1832.37,1832.92004,0,0,0,0.0,0
2022-06-23 04:00:00,1832.89001,1838.31006,1831.06995,1838.03003,2,0,2,-14.040039999999863,1
2022-06-23 08:00:00,1837.93005,1838.05005,1823.98999,1829.48999,0,0,0,0.0,0
2022-06-23 12:00:00,1829.26001,1845.98999,1828.52002,1833.29004,0,1,0,0.0,0
2022-06-23 16:00:00,1833.30005,1834.65002,1822.57996,1826.39001,1,0,0,0.0,0
2022-06-23 20:00:00,1826.43994,1826.43994,1822.64001,1824.62,0,0,0,0.0,0
2022-06-24 00:00:00,1824.67004,1826.57996,1821.69995,1825.26001,0,0,0,0.0,0
2022-06-24 04:00:00,1825.06995,1831.68005,1821.23999,1830.12,0,0,0,0.0,0
2022-06-24 08:00:00,1830.06995,1830.22998,1822.32996,1825.01001,0,0,0,0.0,0
2022-06-24 12:00:00,1824.98999,1831.39001,1817.04004,1827.16003,0,0,0,0.0,0
2022-06-24 16:00:00,1827.09998,1830.92004,1823.65002,1824.21997,0,0,0,0.0,0
2022-06-24 20:00:00,1824.28003,1827.73999,1824.28003,1827.53003,0,0,0,0.0,0
2022-06-26 20:00:00,1839.04004,1839.71997,1830.03003,1831.29004,0,0,0,0.0,0
2022-06-27 00:00:00,1831.09998,1836.98999,1828.31006,1834.92004,0,0,0,0.0,0
2022-06-27 04:00:00,1834.93994,1841.05005,1834.40002,1835.0,0,1,1,14.170039999999972,1
2022-06-27 08:00:00,1834.98999,1840.55005,1833.45996,1833.98999,0,1,1,13.160030000000006,1
2022-06-27 12:00:00,1834.03003,1834.67004,1820.82996,1825.25,0,0,0,0.0,0
2022-06-27 16:00:00,1825.23999,1827.10999,1821.89001,1822.53003,0,0,0,0.0,0
2022-06-27 20:00:00,1822.41003,1823.68994,1821.76001,1823.57996,0,0,0,0.0,0
2022-06-28 00:00:00,1823.62,1826.48999,1822.44995,1826.01001,0,0,0,0.0,0
2022-06-28 04:00:00,1826.03003,1829.31995,1824.87,1827.02002,0,0,0,0.0,0
2022-06-28 08:00:00,1827.04004,1829.53003,1820.67004,1825.63,1,0,0,0.0,0
2022-06-28 12:00:00,1825.45996,1826.83997,1818.70996,1820.79004,0,0,0,0.0,0
2022-06-28 16:00:00,1820.80005,1823.84998,1818.42004,1819.70996,0,0,0,0.0,0
2022-06-28 20:00:00,1819.76001,1821.01001,1818.34998,1818.46997,0,0,0,0.0,0
2022-06-29 00:00:00,1818.55005,1823.03003,1818.40002,1820.77002,0,0,0,0.0,0
2022-06-29 04:00:00,1820.78003,1822.46997,1816.01001,1816.90002,1,0,0,0.0,0
2022-06-29 08:00:00,1816.94995,1827.39001,1812.18005,1825.04004,0,0,0,0.0,0
2022-06-29 12:00:00,1825.01001,1832.69995,1815.01001,1818.56995,0,0,0,0.0,0
2022-06-29 16:00:00,1818.62,1819.70996,1815.79004,1818.46997,0,0,0,0.0,0
