datetime,open,high,low,close
2022-02-24,1907.995,1974.47998,1879.04504,1903.14404
2022-02-25,1903.54504,1921.5437,1883.10498,1887.56079
2022-02-28,1920.86377,1929.35864,1890.58997,1907.90283
2022-03-01,1908.19495,1950.45496,1900.93005,1943.21899
2022-03-02,1943.69495,1948.17505,1913.82251,1926.11084
2022-03-03,1926.495,1941.47498,1921.73499,1935.20996
2022-03-04,1935.64502,1970.80005,1929.77502,1968.45349
2022-03-07,1977.09497,2002.90002,1960.76001,1998.10999
2022-03-08,1998.29504,2070.29492,1981.00012,2052.40991
2022-03-09,2052.74512,2059.24512,1976.29504,1991.48999
2022-03-10,1991.94495,2009.57495,1970.65686,1995.85864
2022-03-11,1996.14502,1999.2229,1958.79504,1985.28845
2022-03-14,1985.495,1990.32996,1949.87476,1951.11499
2022-03-15,1951.0155,1954.95496,1906.72998,1917.84265
2022-03-16,1918.09509,1929.87,1895.22363,1927.9292
2022-03-17,1927.56006,1950.09998,1923.39502,1942.64001
2022-03-18,1942.90002,1945.505,1917.93005,1921.08704
2022-03-21,1922.245,1940.69495,1918.01001,1935.95239
2022-03-22,1935.86499,1938.58997,1910.89001,1921.44165
2022-03-23,1922.35498,1948.54504,1915.32446,1943.38086
2022-03-24,1944.88,1966.19495,1937.17505,1957.47998
2022-03-25,1957.48999,1964.48999,1943.54504,1957.40002
2022-03-28,1958.75,1959.35962,1916.82996,1923.20251
2022-03-29,1922.95496,1929.40503,1890.03003,1919.18506
2022-03-30,1920.06995,1938.53003,1915.73999,1933.05945
2022-03-31,1932.79504,1949.91504,1918.97998,1937.22998
2022-04-01,1937.505,1939.98755,1917.55505,1924.30005
2022-04-04,1924.94495,1937.05005,1915.54504,1932.43909
2022-04-05,1933.375,1944.72998,1917.73999,1923.75745
2022-04-06,1923.69006,1933.64502,1915.245,1925.48083
2022-04-07,1925.32495,1938.07495,1920.27002,1932.17407
2022-04-08,1931.92493,1948.45532,1927.375,1945.84998
2022-04-11,1947.14502,1969.40503,1940.04504,1953.43237
2022-04-12,1953.995,1978.62549,1949.47998,1966.58997
2022-04-13,1967.21497,1981.82495,1962.58997,1977.72278
2022-04-14,1977.77954,1980.81006,1960.89502,1973.51953
2022-04-15,1974.28003,1975.69189,1973.05249,1974.53589
2022-04-18,1972.84497,1998.59998,1971.04504,1978.4967
2022-04-19,1979.19495,1982.30505,1943.79504,1949.83997
2022-04-20,1950.34497,1958.56995,1939.15503,1957.40503
2022-04-21,1957.83997,1958.0,1936.78503,1951.495
2022-04-22,1951.495,1955.92505,1926.51501,1929.72998
2022-04-25,1931.09497,1934.70862,1891.05005,1897.6925
2022-04-26,1897.95496,1911.5,1895.38,1905.55762
2022-04-27,1905.45496,1907.25208,1881.39001,1886.11536
2022-04-28,1886.14001,1897.31995,1872.19495,1894.34229
2022-04-29,1894.43005,1919.97498,1892.24658,1896.39587
2022-05-02,1896.09497,1900.10498,1854.745,1862.76758
2022-05-03,1863.05005,1878.18506,1850.32996,1867.78503
2022-05-04,1868.03503,1889.745,1861.17004,1880.92285
2022-05-05,1881.46997,1910.03003,1872.47998,1876.84082
2022-05-06,1877.29504,1892.92505,1865.84497,1882.95654
2022-05-09,1883.79504,1885.95496,1851.35999,1853.92065
2022-05-10,1853.73999,1865.76001,1835.45996,1838.14307
2022-05-11,1838.40503,1857.995,1831.83276,1852.12024
2022-05-12,1852.57996,1859.29504,1820.93005,1821.71997
2022-05-13,1822.47998,1829.06006,1799.245,1811.15442
2022-05-16,1811.05005,1827.23499,1786.94995,1823.79041
2022-05-17,1824.18005,1836.54504,1812.67505,1814.66846
2022-05-18,1815.19995,1825.02002,1807.29504,1815.60999
2022-05-19,1816.60498,1849.45996,1810.55005,1841.71875
2022-05-20,1842.12,1849.59497,1832.34998,1845.68005
2022-05-23,1846.53003,1865.64502,1844.07629,1853.21851
2022-05-24,1853.59497,1869.98999,1849.06006,1865.90002
2022-05-25,1865.08997,1868.39502,1842.94495,1852.83069
2022-05-26,1853.47998,1854.70996,1841.13501,1850.02356
2022-05-27,1850.47998,1862.29504,1847.76001,1852.72998
2022-05-30,1852.19495,1864.34497,1847.91504,1856.21289
2022-05-31,1856.39502,1857.69495,1834.89502,1837.09253
2022-06-01,1837.37,1850.39502,1828.28003,1845.55005
2022-06-02,1846.44495,1870.69495,1843.755,1868.12769
