datetime,open,high,low,close,engulfing,star,signal,rsi,ema_20,target_amount,target_category
2025-08-08 10:10:00,3393.43,3393.43,3389.44,3390.0,0,0,0,,3390.0,0.0,0
2025-08-08 10:15:00,3390.0,3390.0,3388.42,3388.42,0,0,0,,3389.849523809524,0.0,0
2025-08-08 10:20:00,3388.21,3388.21,3384.62,3385.7,0,0,0,,3389.4543310657596,0.0,0
2025-08-08 10:25:00,3385.63,3387.0,3385.63,3386.4,0,0,0,,3389.16344239283,0.0,0
2025-08-08 10:30:00,3386.39,3387.08,3379.0,3380.4,0,0,0,,3388.328828831608,0.0,0
2025-08-08 10:35:00,3380.4,3384.56,3380.4,3383.59,0,0,0,,3387.8775118000262,0.0,0
2025-08-08 10:40:00,3383.59,3387.41,3380.0,3382.81,0,0,0,,3387.3948916285954,0.0,0
2025-08-08 10:45:00,3382.81,3382.86,3382.47,3382.48,0,0,0,,3386.9268067115863,0.0,0
2025-08-08 10:50:00,3382.47,3382.89,3382.24,3382.6,0,0,0,,3386.5147298819115,0.0,0
2025-08-08 10:55:00,3382.62,3382.62,3380.92,3380.92,1,0,0,,3385.9818984645867,0.0,0
2025-08-08 11:00:00,3380.93,3383.4,3380.92,3383.4,0,0,0,,3385.7360033727214,0.0,0
2025-08-08 11:05:00,3383.39,3383.39,3382.61,3383.0,0,0,0,,3385.4754316229382,0.0,0
2025-08-08 11:10:00,3382.99,3383.8,3379.49,3380.94,0,0,0,,3385.0434857540868,0.0,0
2025-08-08 11:15:00,3380.95,3380.96,3379.16,3379.16,0,0,0,,3384.483153777507,0.0,0
2025-08-08 11:20:00,3379.15,3379.16,3378.03,3378.03,0,0,0,26.012024048096848,3383.8685677034587,0.0,0
2025-08-08 11:25:00,3378.04,3378.05,3377.77,3377.78,0,0,0,27.476714648603476,3383.2887041126532,0.0,0
2025-08-08 11:30:00,3377.77,3381.2,3377.77,3381.2,2,0,2,40.74835526315778,3383.089779911448,0.0,0
2025-08-08 11:35:00,3381.2,3381.2,3380.62,3381.19,0,0,0,38.97587812103214,3382.9088484913104,0.0,0
2025-08-08 11:40:00,3381.19,3381.2,3381.19,3381.2,0,0,0,52.26757369614448,3382.7461010159477,0.0,0
2025-08-08 11:45:00,3381.19,3383.0,3381.19,3382.99,0,0,0,48.152709359604664,3382.7693294906194,0.0,0
2025-08-08 11:50:00,3382.99,3383.0,3381.13,3381.13,1,0,0,45.15011547344112,3382.613202872465,0.0,0
2025-08-08 11:55:00,3380.87,3380.87,3380.07,3380.07,0,0,0,43.32409972299149,3382.3709930750874,0.0,0
2025-08-08 12:00:00,3380.0,3382.6,3380.0,3380.14,0,1,1,43.166666666665876,3382.158517544127,-3.0599999999999454,2
2025-08-08 12:05:00,3380.18,3381.6,3380.18,3381.6,0,0,0,51.91226096737879,3382.105325397067,0.0,0
2025-08-08 12:10:00,3381.76,3383.2,3381.76,3382.2,0,1,1,46.22641509433835,3382.1143420259177,1.0799999999999272,1
2025-08-08 12:15:00,3382.01,3382.08,3381.12,3381.93,0,2,0,46.60748256182533,3382.096785642497,0.0,0
2025-08-08 12:20:00,3381.97,3384.29,3381.97,3384.29,0,0,0,60.423148724331845,3382.305663200354,0.0,0
2025-08-08 12:25:00,3384.41,3386.81,3384.39,3386.81,0,0,0,72.75431290898555,3382.734647657463,0.0,0
2025-08-08 12:30:00,3386.83,3389.09,3386.83,3388.82,0,0,0,80.49745618993998,3383.314205023419,0.0,0
2025-08-08 12:35:00,3388.82,3391.57,3388.82,3391.57,0,0,0,84.15056958890753,3384.100471211665,0.0,0
2025-08-08 12:40:00,3391.59,3392.46,3390.88,3391.63,0,0,0,80.98633392751307,3384.8175691915067,0.0,0
2025-08-08 12:45:00,3391.62,3391.62,3381.88,3387.0,0,0,0,63.54312354312382,3385.0254197446966,0.0,0
2025-08-08 12:50:00,3387.05,3388.45,3386.6,3388.45,0,0,0,65.83660987330752,3385.351570245202,0.0,0
2025-08-08 12:55:00,3388.45,3388.73,3383.99,3383.99,1,0,0,51.956181533646365,3385.221896888516,0.0,0
2025-08-08 13:00:00,3383.97,3385.59,3383.1,3383.1,0,0,0,54.005693371288785,3385.0198114705618,0.0,0
2025-08-08 13:05:00,3383.05,3386.4,3383.05,3386.4,2,0,0,61.796496459187374,3385.151257997175,0.0,0
2025-08-08 13:10:00,3386.4,3388.87,3386.4,3388.87,0,0,0,64.93328771809786,3385.505423902206,0.0,0
2025-08-08 13:15:00,3388.86,3388.86,3384.19,3384.19,0,0,0,53.99075500770441,3385.3801454353293,0.0,0
2025-08-08 13:20:00,3384.13,3384.13,3380.08,3380.08,0,0,0,47.05228031145733,3384.875369679584,0.0,0
2025-08-08 13:25:00,3380.01,3381.88,3380.0,3380.21,0,1,1,47.59910664433306,3384.4310487577186,-4.5900000000001455,2
2025-08-08 13:30:00,3380.21,3384.8,3380.21,3382.37,0,0,0,47.304884896125664,3384.2347583998408,0.0,0
2025-08-08 13:35:00,3382.2,3384.49,3381.23,3384.49,0,0,0,46.706416808631204,3384.2590671236653,0.0,0
