datetime,open,high,low,close,engulfing,star,nearest_support,nearest_resistance,dist_to_support,dist_to_resistance,signal,rsi,ema_20,target_amount,target_category
2025-06-13 01:00:00,3417.08008,3444.21,3413.8,3425.25,0,1,3430.0,3434.2,-0.0047230320699707925,-0.0029147982062780907,0,,3425.25,0.0,0
2025-06-13 05:00:00,3425.21,3429.6,3408.11011,3424.41992,0,0,3430.0,3434.2,-0.006381892128279861,0.0013394677071806853,0,,3425.1709447619046,0.0,0
2025-06-13 09:00:00,3424.28,3438.01,3411.6,3436.74,2,0,3430.0,3434.2,-0.005364431486880493,-0.0011094286879041407,0,,3426.2727595464853,0.0,0
2025-06-13 13:00:00,3436.27,3446.58,3419.22,3430.09,0,0,3430.0,3434.2,-0.003142857142857201,-0.003604915264108121,0,,3426.6363062563437,0.0,0
2025-06-13 17:00:00,3430.29,3439.39,3427.45,3432.19,0,1,3430.0,3434.2,-0.0007434402332362046,-0.0015112690000582537,0,,3427.165229470025,0.0,0
2025-06-13 21:00:00,3436.2,3447.7,3434.7,3436.4,0,1,3430.0,3434.2,0.0013702623906705009,-0.0039310465319433935,0,,3428.044731425261,0.0,0
2025-06-14 01:00:00,3435.9,3438.8,3433.6,3435.1,0,0,3430.0,3434.2,0.0010495626822157168,-0.0013394677071808176,0,,3428.716661765712,0.0,0
2025-06-14 05:00:00,3433.9,3435.6,3430.0,3434.7,0,0,3430.0,3434.2,0.0,-0.00040766408479415614,0,,3429.286503502311,0.0,0
2025-06-14 09:00:00,3435.4,3438.8,3430.0,3432.1,1,0,3430.0,3434.2,0.0,-0.0013394677071808176,0,,3429.55445554971,0.0,0
2025-06-14 13:00:00,3432.4,3438.6,3432.3,3438.1,0,0,3430.0,3434.2,0.0006705539358601114,-0.0012812299807815769,0,,3430.368316925928,0.0,0
2025-06-15 13:00:00,3453.7,3458.1,3453.6,3457.7,0,0,3430.0,3434.2,0.00688046647230318,-0.006959408304699812,0,,3432.971334361554,0.0,0
2025-06-15 21:00:00,3446.0,3455.7,3434.0,3436.8,0,0,3430.0,3434.2,0.0011661807580174927,-0.0062605555879098485,0,,3433.335969184263,0.0,0
2025-06-16 01:00:00,3436.37012,3452.5,3426.85,3427.43,0,0,3430.0,3434.2,-0.000918367346938802,-0.005328751965523319,0,,3432.773495928619,0.0,0
2025-06-16 05:00:00,3427.62,3430.5,3409.52,3413.95996,0,0,3430.0,3434.2,-0.005970845481049568,0.0010773979383844326,0,,3430.981730602084,0.0,0
2025-06-16 09:00:00,3413.94995,3422.51,3410.9,3415.55,0,0,3430.0,3434.2,-0.005568513119533501,0.0034039951080308663,0,45.214141983480665,3429.5120419733144,0.0,0
2025-06-16 13:00:00,3415.57,3417.98999,3383.78,3399.38,1,0,3383.24,3434.2,0.00015961031437332804,0.004720170636538287,0,39.26984673315504,3426.6423236901414,0.0,0
