date,close,high,low,open,volume,engulfing,star,signal,rsi,ema_20,target_amount,target_category
2005-08-10,43.45000076293945,43.540000915527344,43.40299987792969,43.41999816894531,0,0,1,0,,43.45000076293945,0.0,0
2005-08-11,43.5,43.59000015258789,43.430999755859375,43.459999084472656,0,0,1,0,,43.45476259504046,0.0,0
2005-08-12,43.56399917602539,43.57500076293945,43.415000915527344,43.448001861572266,0,0,0,0,,43.46516607894378,0.0,0
2005-08-15,43.439998626708984,43.520999908447266,43.358001708984375,43.50600051879883,0,0,0,0,,43.462769178730944,0.0,0
2005-08-16,43.45000076293945,43.540000915527344,43.36199951171875,43.375999450683594,0,0,0,0,,43.46155313913175,0.0,0
2005-08-17,43.459999084472656,43.540000915527344,43.40999984741211,43.446998596191406,0,0,0,0,,43.46140513392612,0.0,0
2005-08-18,43.5,43.5620002746582,43.43000030517578,43.452999114990234,0,0,0,0,,43.465080835456966,0.0,0
2005-08-19,43.52000045776367,43.52000045776367,43.470001220703125,43.492000579833984,0,0,0,0,,43.47031127567665,0.0,0
2005-08-22,43.54999923706055,43.619998931884766,43.47700119018555,43.4900016784668,0,0,0,0,,43.47790060533226,0.0,0
2005-08-23,43.58000183105469,43.72999954223633,43.50400161743164,43.512001037597656,0,0,1,1,,43.487624531591536,-0.1699981689453125,2
2005-08-24,43.70000076293945,43.75,43.540000915527344,43.569000244140625,0,0,0,0,,43.50785083933896,0.0,0
2005-08-25,43.70000076293945,43.755001068115234,43.599998474121094,43.62799835205078,0,0,0,0,,43.52615083206281,0.0,0
2005-08-26,43.599998474121094,43.7400016784668,43.584999084472656,43.68899917602539,0,0,0,0,,43.53318394083027,0.0,0
2005-08-29,43.65999984741211,43.8849983215332,43.599998474121094,43.64799880981445,0,0,0,0,,43.54526164621902,0.0,0
2005-08-30,43.652000427246094,43.98500061035156,43.63399887084961,43.652000427246094,0,0,0,0,65.16504476227024,43.55542724441207,0.0,0
2005-08-31,43.97999954223633,44.130001068115234,43.643001556396484,43.65999984741211,0,0,0,0,75.42359525589478,43.59586270134771,0.0,0
2005-09-01,43.900001525878906,44.11199951171875,43.87799835205078,43.965999603271484,0,0,1,1,67.50006953854223,43.62482830368402,0.2680015563964844,1
2005-09-02,43.79999923706055,43.935001373291016,43.775001525878906,43.88800048828125,0,0,0,0,69.23070653059894,43.641511249719876,0.0,0
2005-09-05,43.65999984741211,43.87799835205078,43.63199996948242,43.87099838256836,0,0,0,0,59.84984576626611,43.64327206854771,0.0,0
2005-09-06,43.810001373291016,43.935001373291016,43.63600158691406,43.641998291015625,0,0,0,0,64.51081300787293,43.65915104995183,0.0,0
2005-09-07,43.81999969482422,43.875,43.7400016784668,43.7599983215332,0,0,0,0,63.605400250420075,43.674469968511104,0.0,0
2005-09-08,43.779998779296875,43.8650016784668,43.709999084472656,43.8120002746582,0,0,0,0,60.869468144486085,43.68452033144308,0.0,0
2005-09-09,43.7599983215332,43.84000015258789,43.70000076293945,43.770999908447266,0,0,0,0,58.85321514036487,43.69170871145167,0.0,0
2005-09-12,43.790000915527344,43.82699966430664,43.71500015258789,43.73400115966797,0,2,0,0,58.85321514036487,43.701069873744586,0.0,0
2005-09-13,43.83000183105469,43.89500045776367,43.70000076293945,43.72800064086914,0,0,0,0,55.87704745579151,43.71334910777412,0.0,0
2005-09-14,43.81999969482422,43.930999755859375,43.72100067138672,43.72999954223633,0,0,0,0,55.37625403770232,43.7235063065408,0.0,0
2005-09-15,43.79999923706055,43.96200180053711,43.77000045776367,43.79199981689453,0,0,0,0,59.65248193001771,43.73079134754268,0.0,0
2005-09-16,43.81999969482422,43.89500045776367,43.7599983215332,43.79100036621094,0,0,0,0,58.03207237157072,43.73928738061711,0.0,0
2005-09-19,43.83000183105469,43.89699935913086,43.77000045776367,43.78799819946289,0,0,0,0,58.917828011405774,43.74792685208735,0.0,0
2005-09-20,43.84000015258789,43.91699981689453,43.7599983215332,43.83000183105469,0,0,0,0,39.70604734657242,43.756695737849306,0.0,0
2005-09-22,43.849998474121094,43.91999816894531,43.7599983215332,43.89500045776367,0,0,0,0,45.90144456256644,43.765581712732335,0.0,0
2005-09-23,43.849998474121094,43.939998626708984,43.7760009765625,43.832000732421875,0,0,0,0,54.90182878940873,43.773621404293166,0.0,0
2005-09-26,43.849998474121094,43.959999084472656,43.77000045776367,43.77000045776367,0,0,0,0,75.67503479560801,43.780895410943444,0.0,0
2005-09-27,43.900001525878906,43.9900016784668,43.81999969482422,43.880001068115234,0,0,0,0,66.66619573049265,43.7922388504611,0.0,0
2005-09-28,44.0,44.064998626708984,43.86000061035156,43.875,0,0,0,0,74.99947019306165,43.812025626607664,0.0,0
2005-09-29,43.939998626708984,44.025001525878906,43.88999938964844,43.98400115966797,0,0,0,0,71.05212965658473,43.82421353137922,0.0,0
2005-09-30,43.93000030517578,43.94200134277344,43.845001220703125,43.92900085449219,0,0,0,0,72.97283365121913,43.83428846221699,0.0,0
2005-10-03,44.060001373291016,44.12200164794922,43.85599899291992,43.87200164794922,0,0,0,0,78.72314522478067,43.855784929938324,0.0,0
2005-10-04,44.040000915527344,44.21500015258789,43.959999084472656,44.051998138427734,0,0,0,0,73.33299425258124,43.87332930951823,0.0,0
2005-10-05,44.20000076293945,44.290000915527344,44.020999908447266,44.02799987792969,0,2,0,0,81.66663487764406,43.90444087651073,0.0,0
2005-10-06,44.13999938964844,44.266998291015625,44.099998474121094,44.18600082397461,0,0,0,0,76.56237892867148,43.926875020619086,0.0,0
2005-10-07,44.34000015258789,44.349998474121094,44.119998931884766,44.12699890136719,0,2,0,0,81.70720928177002,43.96622027128278,0.0,0
2005-10-10,44.75,44.75,44.237998962402344,44.24100112915039,0,0,0,0,87.70480526302624,44.04086595973204,0.0,0
2005-10-11,44.86000061035156,44.95000076293945,44.599998474121094,44.66899871826172,0,0,0,0,88.63627825252651,44.118878783600564,0.0,0
2005-10-12,44.75,44.858001708984375,44.65800094604492,44.85100173950195,0,0,0,0,81.69006517195618,44.1789855661148,0.0,0
2005-10-13,44.869998931884766,44.939998626708984,44.6609992980957,44.66999816894531,0,2,0,0,83.11679625863567,44.24479636285479,0.0,0
2005-10-14,44.720001220703125,44.926998138427734,44.70800018310547,44.845001220703125,0,0,0,0,75.73968904619163,44.290053968364155,0.0,0
2005-10-17,44.810001373291016,44.869998931884766,44.7140007019043,44.72700119018555,0,0,0,0,76.30058058384729,44.33957276883338,0.0,0
2005-10-18,45.02000045776367,45.15999984741211,44.71200180053711,44.72999954223633,0,0,0,0,77.7174014450238,44.404375405874354,0.0,0
2005-10-19,45.09000015258789,45.375,45.0099983215332,45.09000015258789,0,0,0,0,81.08114795676399,44.46967300079945,0.0,0
2005-10-20,45.119998931884766,45.22200012207031,45.0099983215332,45.09199905395508,0,0,0,0,81.81816327321611,44.53160880375996,0.0,0
2005-10-21,45.0099983215332,45.11899948120117,44.915000915527344,45.10599899291992,0,0,0,0,75.67561437296635,44.577169710214555,0.0,0
2005-10-24,45.04999923706055,45.172000885009766,44.939998626708984,44.99399948120117,0,0,0,0,77.00531813981382,44.622201093723696,0.0,0
2005-10-25,44.900001525878906,45.130001068115234,44.91999816894531,45.04999923706055,0,1,0,1,68.81725722794086,44.64865827773848,0.0,0
2005-10-26,44.939998626708984,45.03499984741211,44.869998931884766,45.02000045776367,0,0,0,0,71.73919803956935,44.67640497764043,0.0,0
2005-10-27,44.9900016784668,45.07500076293945,44.91600036621094,44.93199920654297,0,0,0,0,69.23087341034983,44.70627133010009,0.0,0
2005-10-28,45.0099983215332,45.13999938964844,44.900001525878906,44.922000885009766,0,0,0,0,60.0,44.73519771023658,0.0,0
2005-10-31,45.040000915527344,45.119998931884766,44.979000091552734,44.98500061035156,0,0,0,0,57.37710043963053,44.76422658693094,0.0,0
2005-11-01,45.0,45.060001373291016,44.9739990234375,45.04100036621094,0,0,0,0,60.869622906881084,44.78668119769942,0.0,0
2005-11-02,45.16999816894531,45.28499984741211,44.972999572753906,44.972999572753906,0,2,0,0,62.50003973665723,44.823187575913316,0.0,0
2005-11-03,45.20000076293945,45.290000915527344,45.11000061035156,45.165000915527344,0,0,0,0,72.22224184518659,44.85907454610628,0.0,0
2005-11-04,45.439998626708984,45.52000045776367,45.15999984741211,45.194000244140625,0,0,0,0,75.60973340445855,44.91440064902082,0.0,0
2005-11-07,45.779998779296875,45.89500045776367,45.349998474121094,45.4119987487793,0,0,0,0,77.94118059548687,44.996838566189965,0.0,0
2005-11-08,45.720001220703125,45.9900016784668,45.67499923706055,45.770999908447266,0,0,1,1,73.33346519993331,45.06571119995312,0.0,0
2005-11-09,45.68000030517578,45.80500030517578,45.6150016784668,45.707000732421875,0,0,0,0,70.58833429168477,45.124214924260045,0.0,0
2005-11-10,45.689998626708984,45.814998626708984,45.61000061035156,45.66899871826172,0,0,0,0,76.98425673630032,45.17809908639804,0.0,0
2005-11-11,45.47999954223633,45.84199905395508,45.47999954223633,45.6879997253418,0,0,0,0,65.03505271245038,45.20685151076359,0.0,0
2005-11-14,45.650001525878906,45.720001220703125,45.534000396728516,45.6150016784668,0,0,0,0,75.86212339650837,45.24905627410791,0.0,0
